,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Days for shipping (real),0.0007037355941495446,-0.0003717065253775858,-0.00012081516030699123,-0.008694193706721408,-0.005022487735548201,-0.007177648400272285,0.050255003640013,-0.08062428156150328,0.73276522641369
Days for shipment (scheduled),0.0021476783555634347,-0.0026363655223299916,-0.00446568379454702,-0.006998402221734611,-0.007605794681164461,-0.013083168875017247,0.03336150701679943,-0.0780142910772572,0.6604285596013438
Benefit per order,0.04530004636106073,-0.08138624135475692,-0.31329781793854955,0.4885997937370926,-0.009086537443829347,-0.007235831928889237,5.3822272178058514e-05,0.006527360342094961,0.005371343745456671
Sales per customer,0.2557342670076132,-0.2589861208306935,-0.06765798147316143,-0.08094804594859786,-0.0008455702210145023,0.01386323454906451,0.029240532623838914,-0.07321604765558151,-0.018596603710034014
Late_delivery_risk,-0.0008107128758838813,0.0016966516252457553,0.0065450933882792856,-6.369077978604367e-05,0.0032508335782379734,0.005927155165520826,0.019238735247834194,-0.006091396815199235,0.09694727298471875
Category Id,0.24390096708193065,0.28230279664256147,0.15669756938770896,0.12757816201518432,0.0014850852760558337,-0.014430360505044261,0.020799785449318525,0.05133031647865739,0.0032486294922991735
Customer Id,0.0860185019906294,0.1888272390005329,-0.1660475899319254,-0.07845936067446024,-0.015785391923417224,0.3173856684422658,0.5206446153429338,-0.17988219109854264,-0.046767209222784635
Customer Zipcode,0.0012020835208865854,0.007397573695016851,-0.022907631700727644,-0.0016052519327357643,0.6193029139657166,0.020309489048594705,-0.0032450090766832237,0.004880962248328776,0.008519965842655786
Department Id,0.22651248110746525,0.2261777341255067,0.20834745433095386,0.15232989158792043,0.006216325027621792,-0.059535720098929726,-0.009929346923818761,0.06583765156310875,0.005758088366694605
Latitude,0.0005752217678150548,0.004974565021532488,-0.015456449665616998,-0.001124507606308588,0.49588201942742866,0.018181886368293234,-0.0003180699696900224,0.0007099678292088741,0.0015339741752008402
Longitude,-0.0009769946841907701,-0.007904681451845608,0.023966928433897527,0.002049958345226692,-0.6064271907013099,-0.0193255928353367,0.0005289569896168004,-0.004290232692468199,-0.0057190588656349595
Order Customer Id,0.0860185019906294,0.18882723900053314,-0.16604758993192528,-0.07845936067446029,-0.015785391923416877,0.3173856684422659,0.5206446153429339,-0.1798821910985426,-0.046767209222784656
Order Id,0.07647675206113352,0.12981734291338343,-0.16425860792959898,-0.08488266561515231,-0.02743215561813894,0.5195311217625553,-0.39314789740544115,0.10855977061179474,0.041266495119916605
Order Item Cardprod Id,0.2459640351661859,0.26624332229331854,0.18054163045583727,0.1394695171218111,0.0035421905789250205,-0.035969846372502334,0.008767281718603304,0.05330999960531042,0.003972243106994324
Order Item Discount,0.1656282904838745,-0.1775103061473477,-0.04333241811409532,-0.0791011924831377,-0.0035199161388208616,0.014513999147428095,0.18158637916476073,0.5538971657287249,0.05126346947236476
Order Item Discount Rate,0.006220831962318338,-0.015687967390134422,-0.0016178843871677397,-0.03166880302453316,-0.0030813638645196904,0.006118352681656418,0.19252758980944393,0.7116594202415695,0.07553436242045104
Order Item Id,0.0740964846707503,0.12446710056190742,-0.1620034573141805,-0.08413311248462593,-0.027260009616482946,0.5201692423946125,-0.4002379448543708,0.11037950780783681,0.04194592587718662
Order Item Product Price,0.31055419060592226,-0.1354002518088152,0.02041964686244989,-0.037376100618065095,0.004391560429536259,-0.03518349821018092,-0.05732070895869033,-0.07598526423881709,-0.00176730448055356
Order Item Profit Ratio,0.008813330673304169,-0.043329807939892884,-0.2870139835435816,0.472766479446346,-0.007945194938838052,-0.0085263192211174,-0.005417767233740822,0.016479945659495593,0.007774243248942823
Order Item Quantity,-0.11815709761791132,-0.11600022387921352,-0.09035772668985342,-0.031821168631920575,-0.00831531764749858,0.061555992807239966,0.18699037283069847,0.176725606381141,-0.009115882205655727
Sales,0.2593882522087829,-0.2642982141887293,-0.06854461231388968,-0.08650115815740275,-0.0013475224743102648,0.0149736319990381,0.056464887079366914,0.024842733346490058,-0.008428383019635305
Order Item Total,0.2557342670076135,-0.2589861208306936,-0.06765798147316156,-0.08094804594859768,-0.0008455702210144398,0.013863234549064537,0.029240532623838838,-0.07321604765558187,-0.018596603710034312
Order Profit Per Order,0.04530004636106094,-0.08138624135475696,-0.31329781793854966,0.4885997937370924,-0.009086537443829458,-0.00723583192888922,5.3822272177996064e-05,0.006527360342094943,0.005371343745456444
Order Zipcode,0.001416810881275534,0.0006628098751780275,-0.000369318203572816,-0.0026577609694147576,0.0019201692573793615,-9.305369697322987e-05,0.004301189546688292,0.0007536251132620739,0.001876926486694024
Product Card Id,0.24596403516618587,0.26624332229331843,0.18054163045583738,0.13946951712181124,0.003542190578925161,-0.03596984637250242,0.008767281718603125,0.05330999960531036,0.003972243106994309
Product Category Id,0.24390096708193065,0.2823027966425616,0.15669756938770898,0.12757816201518424,0.0014850852760557383,-0.01443036050504447,0.02079978544931863,0.0513303164786575,0.003248629492299235
Product Price,0.3105541906059222,-0.1354002518088152,0.020419646862449882,-0.03737610061806518,0.004391560429536245,-0.03518349821018089,-0.057320708958690375,-0.07598526423881717,-0.0017673044805535322
Product Status,-0.0,-2.645667515184563e-34,4.4551933943373586e-29,-1.676388954743085e-30,1.2133755287809656e-29,-3.1705080574493103e-28,-1.192639223202571e-26,-4.478156943455415e-26,-4.569699852659557e-27
order_weekday,0.0012442672003976083,-0.007448616855745706,0.003751429553141372,-0.0005605008177053706,-0.004150715712224152,-0.001856239521095694,-0.008612011479362747,0.004980694435700551,-0.008995401752882328
avg_item_price,0.31055419064049045,-0.13540025274936854,0.020419646285313335,-0.03737610102748872,0.004391560417079962,-0.03518349795076113,-0.05732070856340979,-0.07598526395535943,-0.001767304504737249
sales_per_item,0.31055419064049045,-0.13540025274936854,0.020419646285313342,-0.03737610102748872,0.004391560417079941,-0.03518349795076113,-0.0573207085634098,-0.07598526395535951,-0.001767304504737256
total_orders,-0.08476149386596113,-0.23014493592791305,0.3829248143250384,0.21740488749431966,0.010159810408938026,0.27778982462737745,0.05854868576711429,-0.02982357144400776,0.0007311236535756856
total_sales,-0.059824662430311024,-0.25333129530504506,0.37136291883134914,0.20590212670100977,0.00851453713798903,0.28639818326238975,0.06326845317983351,-0.03143596707407249,0.00032743167588186983
avg_order_value,0.1850359219836057,-0.18609331580928243,-0.09205220513093347,-0.09787243446760818,-0.004813850688347349,0.05141556525166701,0.03343716284789376,-0.04352880094312597,-0.008065119524026538
total_items,-0.08998120454770726,-0.2331818149227288,0.3677472821288195,0.20964087496259157,0.0059771102311043205,0.28019313897296344,0.07904271999372506,-0.016743925200129732,0.0005635828282588829
