,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Days for shipping (real),0.0007042380119585963,-0.00038038482864164564,-0.00011219356238157444,-0.008695636998969686,-0.005038191165988221,-0.007194071550154865,0.04984648879076713,-0.07982031260784087,0.7329615959516838,0.01843626610408996
Days for shipment (scheduled),0.0021484570851692184,-0.002649578992057963,-0.004453159938330333,-0.007000293701832132,-0.0076270642056783695,-0.013103761530014458,0.032928976454014276,-0.07723919400364736,0.6605142522718367,0.017482759927322143
Benefit per order,0.04530004481836163,-0.08140285689273216,-0.31327840165999876,0.488610808158747,-0.009064298131350639,-0.007231900819442701,6.646044156582485e-05,0.006526693974351794,0.005375953851314058,-0.01257365429321522
Sales per customer,0.25573300935121734,-0.2590002554340216,-0.0676417525766129,-0.08094829019067648,-0.0008591086064175841,0.013857654161669269,0.0292142020718125,-0.07325280431253268,-0.018486192853372715,0.2541602160678273
Late_delivery_risk,-0.0008109030179861236,0.0017000488405732883,0.006542209357272978,-6.347119842397026e-05,0.0032550862561437593,0.005930560974011424,0.019250555838145136,-0.006037772152290294,0.09707023691955473,0.00023150036585892293
Category Id,0.24390256124964665,0.28231425102382407,0.15668408707681467,0.12757505618997325,0.0014930471740529803,-0.014425852048139955,0.020847075556625638,0.0513078093094931,0.00323276207230988,0.12359127938804956
Customer Id,0.08602061660571658,0.18881374004209625,-0.1660521007398891,-0.07845344102624391,-0.01578748685302628,0.31737326347418066,0.5206345689593005,-0.18019634410844168,-0.04621155824824894,-0.11054823758941691
Customer Zipcode,0.0012023868971513905,0.007387784418358407,-0.022882379348717802,-0.0016096238415529553,0.6193163037847254,0.020327790819542804,-0.0031839276581192553,0.0048565050845120255,0.008576932801533292,0.001741931979423146
Department Id,0.22651380956459521,0.22618785180061585,0.20834016034558286,0.15232417695518854,0.00621732654042584,-0.059533264461554124,-0.009893992058813233,0.06584160238347328,0.005690091975369965,0.14171560111032372
Latitude,0.0005765659003221428,0.004951591307568582,-0.015424210403373217,-0.0011299891556372512,0.49587626926582806,0.01818684727563455,-0.000325195000899089,0.0007181168123023126,0.001520120553656997,0.006216641023865104
Longitude,-0.0009776342589022408,-0.007890793361119395,0.02393917324515166,0.002054656796589153,-0.6064364119384623,-0.019341324200930436,0.0004796574198676097,-0.004269025045364963,-0.005764083402235122,-0.0023989047133313925
